日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-29 05:21,CGO,6015,737-800,29,4,32,0,4,4,28,0,,,,,
2019-07-29 05:16,URC,1569,737-800,26,2,30,0,2,2,29,0,,,,,
2019-07-29 05:14,KMG,7989,737-800,20,5,28,0,6,7,26,0,,,,,
2019-07-29 04:53,HHA,6065,737-800,29,6,30,0,6,6,28,0,,,,,
2019-07-29 04:50,SYX,1488,737-800,29,6,32,0,7,6,30,0,,,,,
2019-07-29 04:48,PEK,6061,737-800,24,4,25,0,6,6,26,0,,,,,
2019-07-29 04:46,FOC,1735,737-800,25,7,34,0,5,5,30,0,,,,,
2019-07-29 04:42,HHA,1502,737-800,30,2,28,0,4,2,32,0,,,,,
2019-07-29 04:40,TYN,5135,737-800,26,3,24,0,6,6,24,0,,,,,
2019-07-29 04:38,XIY,1785,737-800,24,2,30,0,7,8,32,0,,,,,
2019-07-29 04:32,KMG,5409,737-800,25,4,25,0,4,4,30,0,,,,,
2019-07-29 04:27,PEK,5141,737-800,25,4,30,0,4,4,30,0,,,,,
2019-07-29 04:18,TYN ,5338,737-800,25,6,26,0,6,6,31,0,,,,,
2019-07-29 04:12,MIG,6809,737-800,30,5,32,0,6,5,35,0,,,,,
2019-07-29 04:10,银川,1481,737-800,21,6,28,0,6,6,28,0,,,,,
2019-07-29 03:59,HAK,5735,737-800,27,4,36,0,2,2,30,0,,,,,
2019-07-29 03:53,CAN,6062,737-800,29,4,34,0,4,4,34,0,,,,,
2019-07-29 03:48,TYN,5292,737-700,25,0,0,8,0,0,0,6,,,,,
2019-07-29 03:43,CGO,1928,737-800,28,6,28,0,7,7,31,0,,,,,
2019-07-29 03:42,FOC,5430,737-800,28,6,37,0,5,6,36,0,是,,,,
2019-07-29 03:39,MIG,6016,737-800,30,3,34,0,4,3,34,0,,,,,
2019-07-29 03:37,JHG,5813,737-700,25,0,0,6,0,0,0,4,,,,,
2019-07-29 03:37,JHG,5805,737-700,30,0,0,7,0,0,0,6,,,,,
2019-07-29 03:37,JHG,1563,737-700,30,0,0,8,0,0,0,8,,,,,
2019-07-29 03:36,XIY,1433,737-800,29,4,26,0,6,4,28,0,,,,,
2019-07-29 03:34,DLC,5686,737-800,27,5,34,0,5,4,32,0,,,,,
2019-07-29 03:33,XIY,1903,737-800,28,2,36,0,4,4,34,0,,,,,
2019-07-29 03:32,SYX,5625,737-800,31,8,37,0,5,4,36,0,,,,,
2019-07-29 03:26,FOC,7395,737-800,28,4,34,0,5,5,36,0,,,,,
2019-07-29 03:21,HGH,1492,737-800,30,4,34,0,4,4,35,0,,,,,
2019-07-29 03:19,URC,1725,737-800,24,4,26,0,4,4,28,0,,,,,
2019-07-29 03:19,KMG,1565,737-700,20,0,0,6,0,0,0,6,,,,,
2019-07-29 03:15,KMG,7990,737-800,20,1,24,0,2,1,24,0,,,,,
2019-07-29 03:12,FOC,1906,737-800,31,7,34,0,7,7,32,0,,,,,
2019-07-29 03:09,URC,1325,737-800,25,6,26,0,5,4,24,0,,,,,
2019-07-29 03:03,HHA,5855,737-800,29,8,30,0,8,8,32,0,,,,,
2019-07-29 03:02,XIY,1902,737-800,27,4,34,0,6,7,30,0,,,,,
2019-07-29 03:02,XIY,1902,737-800,27,4,34,0,6,7,30,0,,,,,
2019-07-29 03:00,PEK,5371,737-800,25,6,30,0,6,6,32,0,,,,,
2019-07-29 02:49,HHA,7175,737-800,30,4,30,0,6,6,34,0,,,,,
2019-07-29 02:49,KMG,7993,737-800,19,5,22,0,5,3,14,0,,,,,
2019-07-29 02:46,URC,1490,737-800,23,4,26,0,5,5,26,0,,,,,
2019-07-29 02:45,URC,6268,737-800,23,3,26,0,6,5,28,0,,,,,
2019-07-29 02:44,URC,5623,737-800,25,6,31,0,7,5,28,0,,,,,
2019-07-29 02:42,SZX,7399,737-800,29,4,34,0,4,4,30,0,,,,,
2019-07-29 02:40,PEK,5539,737-800,25,4,30,0,4,4,30,0,,,,,
2019-07-29 02:40,CAN,1929,737-800,28,3,32,0,4,3,32,0,,,,,
2019-07-29 02:38,DLC,1787,737-800,30,2,34,0,2,2,28,0,,,,,
2019-07-29 02:38,CAN,6103,737-800,26,6,33,0,6,5,32,0,,,,,
2019-07-29 02:35,URC,2157,737-800,26,4,24,0,6,7,28,0,,,,,
2019-07-29 02:33,HAK,5439,737-800,29,8,34,0,6,7,32,0,,,,,
2019-07-29 02:31,URC,1568,737-800,25,6,30,0,4,4,28,0,,,,,
2019-07-29 02:31,URC,1323,737-800,25,3,26,0,4,4,25,0,,,,,
2019-07-29 02:27,HAK,7379,737-800,28,5,36,0,5,4,37,0,,是,,,
2019-07-29 02:26,W202,5082,737-800,25,6,34,0,3,4,32,0,,,,,
2019-07-29 02:26,URC ,2159,737-800,27,2,21,0,2,2,25,0,,,,,
2019-07-29 02:25,YIH,1562,737-800,32,4,34,0,5,5,35,0,,,,,
2019-07-29 02:24,FOC,1480,737-800,28,5,32,0,4,4,33,0,,,,,
2019-07-29 02:24,YIH,1435,737-800,30,5,33,0,4,4,34,0,,,,,
2019-07-29 02:22,URC,205V,737-800,23,3,28,0,4,3,27,0,,,,,
2019-07-29 02:22,KMG,5248,737-700,20,0,0,8,0,0,0,6,,,,,
2019-07-29 02:22,HAK,7639,737-800,28,6,36,0,7,7,34,0,,,,,
2019-07-29 02:19,URC,5502,737-800,24,5,25,0,6,5,22,0,,,,,
2019-07-29 02:18,XNN,5346,737-800,20,6,28,0,6,5,23,0,,,,,
2019-07-29 02:18,URC,1547,737-800,26,6,26,0,6,6,26,0,,,,,
2019-07-29 02:18,HAK,1141,737-800,28,6,36,0,6,6,32,0,,,,,
2019-07-29 02:12,DLC,1130,737-800,30,2,34,0,3,3,32,0,,,,,
2019-07-29 02:08,SZX,5373,737-800,28,6,32,0,6,6,36,0,,,,,
2019-07-29 02:08,TYN,1505,737-800,25,3,26,0,3,4,27,0,,,,,
2019-07-29 02:08,URC,5713,737-800,24,5,28,0,6,6,26,0,,,,,
2019-07-29 02:05,XUZ,1587,737-800,29,4,34,0,4,6,34,0,,,,,
2019-07-29 02:01,TYN,5292,737-700,25,0,0,17,0,0,0,15,,,,,
2019-07-29 02:01,FOC,5182,737-800,33,4,34,0,4,4,35,0,,,,,
2019-07-29 02:01,HAK,5733,737-800,29,6,36,0,4,4,35,0,,,,,
2019-07-29 01:55,CTU,5806,737-700,27,0,0,7,0,0,0,6,,,,,
2019-07-29 01:55,HHA,5480,737-800,29,7,33,0,5,2,30,0,,,,,
2019-07-29 01:53,TYN,5465,737-800,26,3,26,0,3,3,30,0,,,,,
2019-07-29 01:53,HHA,1545,737-800,30,8,36,0,6,6,34,0,,,,,
2019-07-29 01:52,SYX,206F,737-800,27,4,36,0,3,3,32,0,,,,,
2019-07-29 01:50,URC,1487,737-800,25,3,27,0,3,3,27,0,,,,,
2019-07-29 01:50,KMG,7991,737-800,20,8,25,0,6,6,27,0,,,,,
2019-07-29 01:49,CAN,5522,737-800,29,6,36,0,6,6,35,0,,,,,
2019-07-29 01:49,HGH,6808,737-800,33,4,36,0,4,4,32,0,,,,,
2019-07-29 01:49,HAK,5798,737-800,28,3,24,0,3,3,28,0,,,,,
2019-07-29 01:48,KMG,5288,737-700,20,0,0,7,0,0,0,6,,,,,
2019-07-29 01:47,HAK,5521,737-800,27,5,34,0,6,6,34,0,,,,,
2019-07-29 01:47,CGO,7167,737-800,31,6,32,0,6,5,34,0,,,,,
2019-07-29 01:47,HHA,1786,737-800,30,5,33,0,6,5,34,0,,,,,
2019-07-29 01:45,URC,5636,737-800,30,4,28,0,5,5,30,0,,,,,
2019-07-29 01:45,URC,5636,737-800,30,4,28,0,5,5,30,0,,,,,
2019-07-29 01:43,CAN,5372,737-800,29,6,35,0,6,6,36,0,,,,,
2019-07-29 01:39,SYX,6063,737-800,28,4,36,0,5,6,37,0,,是,,,
2019-07-29 01:37,CGO,5138,737-800,28,4,29,0,5,6,31,0,,,,,
2019-07-29 01:33,CAN,1375,737-800,29,5,36,0,4,3,32,0,,,,,
2019-07-29 01:30,URC,1726,737-800,25,5,26,0,4,5,28,0,,,,,
2019-07-29 01:23,CAN,5463,737-800,27,6,32,0,6,7,32,0,,,,,
2019-07-29 01:15,HRB,1351,737-800,27,5,35,0,5,5,30,0,,,,,
2019-07-29 01:12,SYX,7400,737-800,29,6,36,0,6,6,35,0,,,,,
2019-07-29 01:11,5852,HAK,737-800,28,9,36,0,9,8,37,0,,是,,,
2019-07-29 01:09,HAK,5139,737-800,28,8,26,0,9,6,36,0,,,,,
2019-07-29 01:09,XIY,1482,737-800,29,4,32,0,4,4,30,0,,,,,
2019-07-29 01:08,XIY,5637,737-800,29,4,24,0,4,4,30,0,,,,,
2019-07-29 01:06,HAK,7171,737-800,29,4,34,0,3,4,35,0,,,,,
2019-07-29 01:03,HGH,1491,737-800,30,5,34,0,4,4,36,0,,,,,
2019-07-29 00:59,CTU,5825,737-700,27,0,0,7,0,0,0,8,,,,,
2019-07-29 00:59,HRB,1905,737-800,27,4,28,0,5,4,29,0,,,,,
2019-07-29 00:58,HRB,1905,737-800,27,4,34,0,5,5,33,0,,,,,
2019-07-29 00:56,KMG,5732,737-800,20,5,25,0,4,6,26,0,,,,,
2019-07-29 00:49,URC,205T,737-800,23,3,29,0,3,3,28,0,,,,,
2019-07-29 00:48,TYN,5466,737-800,26,2,18,0,2,2,24,0,,,,,
2019-07-29 00:47,HAK,5852,737-800,28,9,36,0,9,8,37,0,,,,,
2019-07-29 00:45,URC,5611,737-800,26,5,28,0,5,5,27,0,,,,,
2019-07-29 00:45,HAK,5478,737-800,28,7,37,0,4,4,33,0,是,,,,
2019-07-29 00:42,URC,7198,737-800,30,5,28,0,5,4,27,0,,,,,
2019-07-29 00:42,URC,7198,737-800,30,5,28,0,5,4,27,0,,,,,
2019-07-29 00:33,KMG,1586,737-800,20,2,25,0,2,2,26,0,,,,,
2019-07-29 00:32,SZX,1213,737-800,29,4,34,0,4,6,36,0,,,,,
2019-07-29 00:27,CAN,1495,737-800,28,4,32,0,4,4,34,0,,,,,
2019-07-29 00:27,SYX,1103,737-800,28,5,37,0,5,4,35,0,是,,,,
2019-07-29 00:27,HAK,5638,737-800,30,5,36,0,6,6,37,0,,,,,
2019-07-29 00:24,CKG,1583,737-800,31,4,32,0,4,6,30,0,,,,,
2019-07-29 00:20,DLC,5483,737-800,30,5,36,0,4,4,34,0,,,,,
2019-07-29 00:19,TYN,1783,737-800,28,4,26,0,5,5,24,0,,,,,
2019-07-29 00:18,HGH,1995,737-800,32,6,36,0,6,7,36,0,,,,,
2019-07-29 00:18,CGO,5580,737-800,28,6,28,0,8,8,30,0,,,,,
2019-07-29 00:16,HAK,1797,737-800,28,3,35,0,4,4,31,0,,,,,
2019-07-29 00:14,SHE,5481,737-800,30,7,34,0,7,6,34,0,,,,,
2019-07-29 00:12,HGH ,206G,737-800,33,6,36,0,5,4,35,0,,,,,
2019-07-29 00:08,HAK,7988,737-800,28,5,36,0,7,6,36,0,,,,,
2019-07-29 00:06,HAK,5462,737-800,28,4,33,0,7,7,34,0,,,,,
2019-07-29 00:00,HHA,7377,737-800,32,6,34,0,6,6,30,0,,,,,
2019-07-28 23:59,HAK,7172,737-800,29,5,36,0,6,4,36,0,,,,,
2019-07-28 23:58,DLC,1346,737-800,30,4,35,0,3,4,32,0,,,,,
2019-07-28 23:54,HAK,5579,737-800,28,6,36,0,8,8,36,0,,,,,
2019-07-28 23:44,SYX ,5137,737-800,29,6,35,0,4,4,32,0,,,,,
2019-07-28 23:44,HAK,5090,737-800,29,2,34,0,5,5,34,0,,,,,
2019-07-28 23:43,KMG,1209,737-800,22,3,26,0,3,3,26,0,,,,,
2019-07-28 23:40,SYX,1733,737-800,29,4,32,0,4,4,30,0,,,,,
2019-07-28 23:38,HAK,5687,737-800,29,6,36,0,5,4,34,0,,,,,
2019-07-28 23:37,HGH,7618,737-800,30,6,32,0,6,6,31,0,,,,,
2019-07-28 23:33,CGO,1208,737-800,25,2,26,0,2,2,28,0,,,,,
2019-07-28 23:33,CTU,5823,737-700,27,0,0,5,0,0,0,6,,,,,
2019-07-28 23:31,HAK,1548,737-800,29,4,36,0,5,5,32,0,,,,,
2019-07-28 23:22,SYX,1496,737-800,29,6,36,0,5,6,36,0,,,,,
2019-07-28 23:19,CGO,1372,737-800,30,5,33,0,4,4,33,0,,,,,
2019-07-28 23:18,CTU,6800,737-800,27,5,26,0,5,4,32,0,,,,,
2019-07-28 23:07,CGO,5449,737-800,29,6,30,0,5,5,29,0,,,,,
2019-07-28 23:06,CKG,1798,737-800,35,5,37,0,5,5,33,0,,,,,
2019-07-28 22:54,DLC,7173,737-800,29,4,30,0,6,6,32,0,,,,,
2019-07-28 22:54,DLC,7173,737-800,29,4,30,0,6,6,32,0,,,,,
2019-07-28 22:50,DLC,1497,737-800,30,8,38,0,6,4,36,0,是,,,,
2019-07-28 22:48,HGH ,5417,737-800,34,8,36,0,6,7,36,0,,,,,
2019-07-28 22:44,SZX,1347,737-800,29,4,33,0,3,3,32,0,,,,,
2019-07-28 22:40,SZX,1215,737-800,29,2,34,0,4,4,36,0,,,,,
2019-07-28 22:40,URC,1498,737-800,25,3,30,0,5,4,28,0,,,,,
2019-07-28 22:35,TYN,5853,737-800,25,6,28,0,6,6,26,0,,,,,
2019-07-28 22:28,URC,6066,737-800,27,5,28,0,5,4,28,0,,,,,
2019-07-28 22:26,,5467,737-800,29,2,31,0,2,2,24,0,,,,,
2019-07-28 22:22,SYX,1997,737-800,29,6,36,0,3,4,36,0,,,,,
2019-07-28 22:21,HAK,7378,737-800,30,6,34,0,5,6,34,0,,,,,
2019-07-28 22:19,HAK,7886,737-800,28,3,36,0,3,3,28,0,,,,,
2019-07-28 20:30,HAK,7378,737-800,30,6,34,0,5,6,34,0,,,,,
2019-07-28 19:57,HAK,1793,737-800,30,5,36,0,6,6,32,0,,,,,
2019-07-28 18:45,PEK,5482,737-800,34,7,36,0,6,6,34,0,,,,,
2019-07-28 15:40,XIY,5418,737-800,35,8,34,0,8,8,34,0,,,,,
2019-07-28 14:21,KMG,5249,737-700,30,0,0,9,0,0,0,7,,,,,
2019-07-28 13:58,HRB,1350,737-800,30,6,32,0,6,6,32,0,,,,,
2019-07-28 13:57,HRB,1350,737-800,31,6,34,0,6,6,34,0,,,,,
2019-07-28 13:20,PEK ,5581,737-800,35,8,34,0,7,7,35,0,,,,,
2019-07-28 12:39,XMN,1541,737-800,28,7,37,0,5,5,35,0,,,,,
2019-07-28 12:38,URC,6268,737-800,28,4,27,0,4,5,27,0,,,,,
2019-07-28 12:38,XMN,1735,737-800,26,8,28,0,3,6,24,0,,,,,
2019-07-28 12:37,XMN,1996,737-800,29,6,36,0,6,5,34,0,,,,,
2019-07-28 12:37,XMN,1386,737-800,28,8,35,0,4,5,32,0,,,,,
2019-07-28 12:15,URC,205U,737-800,27,4,29,0,5,5,25,0,,,,,
2019-07-28 09:36,海口,5638,737-800,30,6,37,0,6,6,37,0,,,,,
2019-07-28 09:19,XNN,5797,737-800,18,4,23,0,5,6,24,0,,,,,
2019-07-28 08:53,HAK,5661,737-800,29,8,36,0,7,7,36,0,,,,,
2019-07-28 08:53,XIY,5359,737-800,30,4,34,0,4,5,29,0,,,,,
2019-07-28 08:32,PEK,6065,737-800,29,3,36,0,4,5,34,0,,,,,
2019-07-28 08:22,PEK,5712,737-800,28,3,33,0,3,3,33,0,,,,,
2019-07-28 08:06,URC,1568,737-800,25,6,31,0,6,6,26,0,,,,,
2019-07-28 07:50,ZGC,5520,737-800,20,6,30,0,6,6,26,0,,,,,
2019-07-28 07:41,CKG,1545,737-800,32,7,30,0,8,8,31,0,,,,,
2019-07-28 07:33,DLC,1729,737-800,25,4,28,0,6,4,30,0,,,,,
2019-07-28 07:21,TYN,1346,737-800,28,5,36,0,5,5,32,0,,,,,
2019-07-28 07:07,SYX,206F,737-800,30,2,32,0,2,2,30,0,,,,,
2019-07-28 07:04,PEK,1726,737-800,27,4,28,0,4,4,28,0,,,,,
2019-07-28 06:46,PEK,1549,737-800,28,9,34,0,6,6,34,0,,,,,
2019-07-28 06:31,TYN,7886,737-800,27,4,32,0,4,4,30,0,,,,,
2019-07-28 06:18,CTU,6800,737-800,30,4,32,0,4,4,32,0,,,,,
2019-07-28 06:17,PEK,5539,737-800,29,5,32,0,5,5,31,0,,,,,
2019-07-28 05:59,XIY,7105,737-800,30,2,32,0,4,3,32,0,,,,,
2019-07-28 05:58,DLC,1928,737-800,27,5,29,0,5,3,28,0,,,,,
2019-07-28 05:57,DLC,7378,737-800,27,4,30,0,3,5,31,0,,,,,
2019-07-28 05:50,URC,5636,737-800,22,4,28,0,4,4,30,0,,,,,
2019-07-28 05:29,KMG,1565,737-700,20,0,0,6,0,0,0,7,,,,,
2019-07-28 05:26,CGO,1488,737-800,33,6,29,0,4,5,26,0,,,,,
2019-07-28 05:24,KMG,1565,737-700,20,0,0,6,0,0,0,6,,,,,
2019-07-28 05:22,KMG,1563,737-700,20,0,0,6,0,0,0,6,,,,,
2019-07-28 05:19,KMG,5248,737-700,20,0,0,6,0,0,0,8,,,,,
2019-07-28 05:16,PEK,5346,737-800,28,8,35,0,5,4,32,0,,,,,
2019-07-28 05:16,PEK,1497,737-800,29,6,32,0,6,5,33,0,,,,,
2019-07-28 05:03,URC,2157,737-800,20,4,26,0,6,6,24,0,,,,,
2019-07-28 04:55,ZGC,5138,737-800,20,4,24,0,4,4,24,0,,,,,
2019-07-28 04:53,FOC,1906,737-800,28,8,33,0,7,7,32,0,,,,,
2019-07-28 04:51,KMG,5409,737-800,20,4,32,0,4,4,34,0,,,,,
2019-07-28 04:50,KMG,5289,737-700,20,0,0,4,0,0,0,4,,,,,
2019-07-28 04:44,SZX,7399,737-800,30,4,35,0,4,4,30,0,,,,,
2019-07-28 04:43,URC,206P,737-800,22,5,26,0,4,4,26,0,,,,,
2019-07-28 04:41,CGO,7990,737-800,33,4,33,0,4,5,34,0,,,,,
2019-07-28 04:41,昆明,7167,737-800,20,6,26,0,9,11,20,0,,,,,
2019-07-28 04:39,URC,5611,737-800,23,6,28,0,5,5,27,0,,,,,
2019-07-28 04:37,XIY,1902,737-800,30,2,20,0,2,2,22,0,,,,,
2019-07-28 04:26,CGO,1373,737-800,29,3,27,0,3,3,28,0,,,,,
2019-07-28 04:23,INC,1161,737-800,27,3,30,0,2,2,2,0,,,,,
2019-07-28 04:22,KMG,7992,737-800,22,6,26,0,5,5,24,0,,,,,
2019-07-28 04:19,CTU,5823,737-700,30,0,0,7,0,0,0,7,,,,,
2019-07-28 04:17,KMG,1587,737-800,20,2,25,0,4,2,25,0,,,,,
2019-07-28 04:17,HGH,5337,737-800,29,6,34,0,5,6,30,0,,,,,
2019-07-28 04:11,KMG,7988,737-800,19,4,27,0,4,3,28,0,,,,,
2019-07-28 04:08,KMG,5249,737-700,20,0,0,7,0,0,0,7,,,,,
2019-07-28 04:03,FOC,1480,737-800,28,4,29,0,5,4,32,0,,,,,
2019-07-28 04:03,XIY,1163,737-800,29,2,34,0,2,2,32,0,,,,,
2019-07-28 03:58,HAK,5478,737-800,28,4,36,0,4,4,32,0,,,,,
2019-07-28 03:55,FOC,1433,737-800,27,3,35,0,3,3,30,0,,,,,
2019-07-28 03:54,CTU,5806,737-700,30,0,0,8,0,0,0,6,,,,,
2019-07-28 03:48,XIY,7105,737-800,30,2,32,0,4,3,32,0,,,,,
2019-07-28 03:48,HAK,5090,737-800,30,2,33,0,2,4,32,0,,,,,
2019-07-28 03:47,PEK,5540,737-800,28,8,32,0,4,4,34,0,,,,,
2019-07-28 03:47,722B,7993,737-800,20,7,31,0,7,6,30,0,,,,,
2019-07-28 03:46,HHA,1785,737-800,29,3,32,0,6,6,36,0,,,,,
2019-07-28 03:45,URC,2159,737-800,25,4,26,0,2,2,22,0,,,,,
2019-07-28 03:43,XIY,5153,737-800,28,3,32,0,3,3,28,0,,,,,
2019-07-28 03:43,XIY,5082,737-800,30,5,32,0,8,8,35,0,,,,,
2019-07-28 03:42,YIH,1435,737-800,28,5,35,0,6,6,33,0,,,,,
2019-07-28 03:41,URC,1323,737-800,26,3,31,0,3,3,30,0,,,,,
2019-07-28 03:40,XIY,5637,737-800,29,2,33,0,4,3,35,0,,,,,
2019-07-28 03:37,HHA,5855,737-800,30,6,30,0,5,5,30,0,,,,,
2019-07-28 03:34,CAN,1542,737-800,27,4,36,0,4,4,35,0,,,,,
2019-07-28 03:34,DLC,5466,737-800,23,3,28,0,7,7,30,0,,,,,
2019-07-28 03:33,CAN,5686,737-800,30,6,35,0,5,6,36,0,,,,,
2019-07-28 03:33,YIH,1350,737-800,31,8,32,0,6,6,31,0,,,,,
2019-07-28 03:30,XIY ,1481,737-800,28,6,32,0,6,5,33,0,,,,,
2019-07-28 03:29,URC,5852,737-800,24,4,30,0,4,4,28,0,,,,,
2019-07-28 03:24,SYX,6063,737-800,28,3,36,0,3,4,37,0,,,,,
2019-07-28 03:22,CAN,5580,737-800,28,8,36,0,9,9,37,0,,,,,
2019-07-28 03:22,SYX,1496,737-800,27,5,35,0,6,7,36,0,,,,,
2019-07-28 03:18,CAN,5467,737-800,29,6,34,0,5,6,35,0,,,,,
2019-07-28 03:17,HHA,7377,737-800,30,8,35,0,7,7,34,0,,,,,
2019-07-28 03:14,HAK,5687,737-800,28,4,36,0,5,4,34,0,,,,,
2019-07-28 03:12,722A,6809,737-800,20,5,28,0,6,6,30,0,,,,,
2019-07-28 03:03,HAK,7171,737-800,28,5,30,0,6,4,35,0,,,,,
2019-07-28 03:02,HAK,1498,737-800,28,4,37,0,6,4,32,0,,,,,
2019-07-28 03:01,XIY ,5115,737-800,30,7,28,0,6,7,26,0,,,,,
2019-07-28 02:59,URC,5502,737-800,22,4,25,0,6,5,23,0,,,,,
2019-07-28 02:58,HGH,5417,737-800,30,5,32,0,5,5,33,0,,,,,
2019-07-28 02:55,URC,1487,737-800,25,4,28,0,4,4,26,0,,,,,
2019-07-28 02:53,HA?K,1493,737-800,28,4,33,0,6,5,30,0,,,,,
2019-07-28 02:52,XIY,5180,737-800,29,8,33,0,6,6,32,0,,,,,
2019-07-28 02:51,SYX,7400,737-800,28,4,34,0,4,3,30,0,,,,,
2019-07-28 02:51,PEK,5482,737-800,27,6,32,0,5,4,30,0,,,,,
2019-07-28 02:50,ZGC,1103,737-800,24,4,25,0,5,5,26,0,,,,,
2019-07-28 02:48,CGO,5449,737-800,30,2,20,0,4,3,21,0,,,,,
2019-07-28 02:46,XUZ,5732,737-800,30,3,37,0,4,4,34,0,,,,,
2019-07-28 02:41,URC,1490,737-800,25,7,30,0,6,6,28,0,,,,,
2019-07-28 02:40,SZZ,1347,737-800,30,8,37,0,5,4,34,0,,,,,
2019-07-28 02:39,URC,205T,737-800,22,2,29,0,2,2,28,0,,,,,
2019-07-28 02:36,SZX,1503,737-800,30,9,37,0,8,9,37,0,,,,,
2019-07-28 02:36,JHG,5813,737-700,27,0,0,5,0,0,0,4,,,,,
2019-07-28 02:35,HAK,1538,737-800,28,2,35,0,3,3,32,0,,,,,
2019-07-28 02:33,HHA,5462,737-800,31,4,31,0,6,6,33,0,,,,,
2019-07-28 02:30,HAK,5798,737-800,25,6,26,0,4,2,24,0,,,,,
2019-07-28 02:28,URC,1727,737-800,20,4,29,0,3,5,28,0,,,,,
2019-07-28 02:26,HAK,5135,737-800,30,4,35,0,4,4,32,0,,,,,
2019-07-28 02:26,URC,205V,737-800,23,4,29,0,4,4,27,0,,,,,
2019-07-28 02:25,FOC,5479,737-800,26,6,36,0,6,6,34,0,,,,,
2019-07-28 02:24,HAK,5579,737-800,28,6,36,0,6,6,36,0,,,,,
2019-07-28 02:23,HHA,5372,737-800,30,6,36,0,7,7,37,0,,,,,
2019-07-28 02:23,HHA,1502,737-800,30,6,28,0,6,4,26,0,,,,,
2019-07-28 02:21,,7379,737-800,28,5,34,0,4,5,34,0,,,,,
2019-07-28 02:21,HAK,5522,737-800,28,7,35,0,8,7,36,0,,,,,
2019-07-28 02:21,FOC,5503,737-800,25,5,31,0,4,4,30,0,,,,,
2019-07-28 02:18,JHG,5288,737-700,25,0,0,9,0,0,0,9,,,,,
2019-07-28 02:12,HHA,1786,737-800,30,6,32,0,6,6,32,0,,,,,
